,count,mean,std,min,max
citation_impact,491,4.1321,0.9022,2.5649,7.6099
cit_interdisciplinarity,491,0.5383,0.1591,0.0,0.8275
discipline_variety,491,3.8673,0.8622,0.0,5.0
discipline_similarity,491,0.5672,0.2777,0.0,1.0
discipline_balance,491,1.8429,0.1374,0.0,1.9474
ai4s_balance,491,0.687,0.2171,0.0323,1.0
num_authors,491,5.224,3.8128,0.0,41.0
num_references,491,85.9511,84.5396,2.0,987.0
num_institutions,491,3.3198,2.9105,0.0,18.0
has_international_collab,491,0.4073,0.4918,0.0,1.0
journal_impact,491,4.8015,4.2109,0.0,30.2368
open_access,491,0.6721,0.4699,0.0,1.0
first_author_hindex,491,19.8819,18.7441,1.0,113.0
last_author_hindex,491,34.1344,26.9391,1.0,188.0
max_author_hindex,491,48.6436,32.2902,1.0,188.0
ai_ref_age,491,5.7736,4.175,0.0,40.0
publication_year,491,2022.0224,1.7547,2017.0,2025.0
Rela_Dz,491,0.1105,0.1627,0.0,1.1944
ai_ref_age_c,491,0.0,4.175,-5.7736,34.2264
ai_ref_age_c_sq,491,17.395,64.3074,0.0003,1171.4475
publication_year_c,491,-0.0,1.7547,-5.0224,2.9776
sqrt_Rela_Dz,491,0.2747,0.1874,0.0,1.0929
disc_Business,491,0.0143,0.1187,0.0,1.0
disc_Chemistry,491,0.0102,0.1005,0.0,1.0
disc_Computer science,491,0.668,0.4714,0.0,1.0
disc_Engineering,491,0.0204,0.1414,0.0,1.0
disc_Environmental science,491,0.0102,0.1005,0.0,1.0
disc_Materials science,491,0.0224,0.1481,0.0,1.0
disc_Medicine,491,0.1833,0.3873,0.0,1.0
disc_Other,491,0.0183,0.1343,0.0,1.0
disc_Psychology,491,0.0305,0.1723,0.0,1.0
disc_Sociology,491,0.0102,0.1005,0.0,1.0
year_2018,491,0.0285,0.1666,0.0,1.0
year_2019,491,0.0407,0.1979,0.0,1.0
year_2020,491,0.1242,0.3302,0.0,1.0
year_2021,491,0.1792,0.3839,0.0,1.0
year_2022,491,0.1222,0.3279,0.0,1.0
year_2023,491,0.3014,0.4593,0.0,1.0
year_2024,491,0.1446,0.3521,0.0,1.0
year_2025,491,0.0489,0.2158,0.0,1.0
